NAME,SURNAME,EMAIL_ID,MARKS,PREF1,PREF2,PREF3,ALLOTMENT,PSWD
Sallie,Erich,sallie.erich@gmail.com,151,0,1,3,Computer,clg
Kevin,West,kevin.west@gmail.com,198,0,1,3,--,clg
Judith,Porter,judith.porter@gmail.com,128,0,1,3,--,clg
Janice,Melton,janice.melton@gmail.com,58,0,1,3,IT,clg
Steven,Karst,steven.karst@gmail.com,53,0,1,3,Electronics,clg
Brenda,Trout,brenda.trout@gmail.com,156,0,1,3,--,clg
Emily,Peirce,emily.peirce@gmail.com,53,0,1,3,Electronics,clg
James,Dixon,james.dixon@gmail.com,102,0,1,3,--,clg
James,Collazo,james.collazo@gmail.com,180,0,1,3,--,clg
Kyle,Hartz,kyle.hartz@gmail.com,151,0,1,3,Computer,clg
Lloyd,Barrett,lloyd.barrett@gmail.com,118,0,1,3,IT,clg
Tanya,Mcconnell,tanya.mcconnell@gmail.com,112,0,1,3,Electronics,clg
Kevin,Mayne,kevin.mayne@gmail.com,127,0,1,3,--,clg
Alan,Rinehart,alan.rinehart@gmail.com,62,0,1,3,Computer,clg
Claude,Gomez,claude.gomez@gmail.com,62,0,1,3,Electronics,clg
Ronald,Graves,ronald.graves@gmail.com,74,0,1,3,Computer,clg
Karen,Albers,karen.albers@gmail.com,146,0,1,3,--,clg
Beverly,Curry,beverly.curry@gmail.com,105,0,1,3,Electronics,clg
Beatrice,Smith,beatrice.smith@gmail.com,80,0,1,3,Electronics,clg
Timothy,Potter,timothy.potter@gmail.com,186,0,1,3,--,clg
Inez,Mrowka,inez.mrowka@gmail.com,184,0,1,3,Computer,clg
Barbara,Smith,barbara.smith@gmail.com,196,0,1,3,--,clg
Robert,Pinion,robert.pinion@gmail.com,164,0,1,3,--,clg
Elisa,Embrey,elisa.embrey@gmail.com,128,0,1,3,IT,clg
Sophia,Frazier,sophia.frazier@gmail.com,140,0,1,3,IT,clg
Donna,Milano,donna.milano@gmail.com,128,0,1,3,--,clg
Scott,Lombardi,scott.lombardi@gmail.com,188,0,1,3,Computer,clg
Brenda,Lewis,brenda.lewis@gmail.com,135,0,1,3,--,clg
Willard,Williams,willard.williams@gmail.com,57,0,1,3,Electronics,clg
Armando,Kennedy,armando.kennedy@gmail.com,164,0,1,3,Computer,clg
Mary,Sandlin,mary.sandlin@gmail.com,113,0,1,3,--,clg
Matthew,Nieves,matthew.nieves@gmail.com,166,0,1,3,--,clg
Mary,James,mary.james@gmail.com,98,0,1,3,--,clg
Pauline,Hough,pauline.hough@gmail.com,159,0,1,3,Computer,clg
Deidra,Rhoades,deidra.rhoades@gmail.com,126,0,1,3,Electronics,clg
Thomas,Dowdy,thomas.dowdy@gmail.com,184,0,1,3,--,clg
Richard,Rose,richard.rose@gmail.com,146,0,1,3,--,clg
Joshua,Cook,joshua.cook@gmail.com,65,0,1,3,Electronics,clg
Gloria,Smith,gloria.smith@gmail.com,129,0,1,3,--,clg
Barbara,Stephens,barbara.stephens@gmail.com,88,0,1,3,Computer,clg
Kimberlee,Lawson,kimberlee.lawson@gmail.com,170,0,1,3,Computer,clg
Denise,Lowe,denise.lowe@gmail.com,122,0,1,3,Computer,clg
Betty,Leonard,betty.leonard@gmail.com,132,0,1,3,--,clg
Francis,Kohen,francis.kohen@gmail.com,128,0,1,3,IT,clg
Mildred,Taylor,mildred.taylor@gmail.com,73,0,1,3,Electronics,clg
Eleanor,Johnson,eleanor.johnson@gmail.com,135,0,1,3,--,clg
Samuel,Middleton,samuel.middleton@gmail.com,53,0,1,3,Computer,clg
Martha,Puleo,martha.puleo@gmail.com,169,0,1,3,--,clg
Rachelle,Merrill,rachelle.merrill@gmail.com,89,0,1,3,Electronics,clg
George,Spiney,george.spiney@gmail.com,55,0,1,3,IT,clg
Joseph,Thissen,joseph.thissen@gmail.com,52,0,1,3,Computer,clg
Phillip,Simpson,phillip.simpson@gmail.com,199,0,1,3,Computer,clg
James,Dumont,james.dumont@gmail.com,138,0,1,3,--,clg
Sybil,Robinson,sybil.robinson@gmail.com,181,0,1,3,Computer,clg
Sylvester,Johnson,sylvester.johnson@gmail.com,132,0,1,3,IT,clg
Clara,Gibson,clara.gibson@gmail.com,129,0,1,3,IT,clg
Majorie,Hausner,majorie.hausner@gmail.com,192,0,1,3,Computer,clg
Darryl,Brentson,darryl.brentson@gmail.com,88,0,1,3,Electronics,clg
Christy,Coffman,christy.coffman@gmail.com,183,0,1,3,Computer,clg
Gary,Lucas,gary.lucas@gmail.com,71,0,1,3,Computer,clg
Adam,Marcus,adam.marcus@gmail.com,67,0,1,3,Electronics,clg
John,Thelen,john.thelen@gmail.com,171,0,1,3,--,clg
Michelle,Catton,michelle.catton@gmail.com,168,0,1,3,Computer,clg
Jason,Kuehn,jason.kuehn@gmail.com,114,0,1,3,--,clg
Valerie,Stergios,valerie.stergios@gmail.com,172,0,1,3,Computer,clg
Eleanor,Carlson,eleanor.carlson@gmail.com,60,0,1,3,Computer,clg
Doris,Duckworth,doris.duckworth@gmail.com,126,0,1,3,Electronics,clg
Edward,Biller,edward.biller@gmail.com,111,0,1,3,--,clg
Marjorie,Herlocker,marjorie.herlocker@gmail.com,145,0,1,3,--,clg
Leslie,Wagner,leslie.wagner@gmail.com,149,0,1,3,IT,clg
Rick,Dike,rick.dike@gmail.com,129,0,1,3,IT,clg
Mary,Konopka,mary.konopka@gmail.com,157,0,1,3,--,clg
Peggy,Everett,peggy.everett@gmail.com,58,0,1,3,Electronics,clg
Noreen,Krawczyk,noreen.krawczyk@gmail.com,132,0,1,3,IT,clg
Jason,William,jason.william@gmail.com,96,0,1,3,Electronics,clg
Rachel,Norcross,rachel.norcross@gmail.com,65,0,1,3,IT,clg
Lisa,Tutt,lisa.tutt@gmail.com,145,0,1,3,--,clg
Mary,Devore,mary.devore@gmail.com,133,0,1,3,--,clg
Nellie,Mangum,nellie.mangum@gmail.com,66,0,1,3,Electronics,clg
Elizabeth,Wyrick,elizabeth.wyrick@gmail.com,194,0,1,3,Computer,clg
George,Mabrey,george.mabrey@gmail.com,72,0,1,3,--,clg
Helen,Smith,helen.smith@gmail.com,79,0,1,3,Electronics,clg
Mose,Mitchell,mose.mitchell@gmail.com,102,0,1,3,Electronics,clg
Lizabeth,Sheldon,lizabeth.sheldon@gmail.com,143,0,1,3,IT,clg
Donald,Tubbs,donald.tubbs@gmail.com,74,0,1,3,Computer,clg
Teddy,Slevin,teddy.slevin@gmail.com,76,0,1,3,Electronics,clg
Shawn,Lowe,shawn.lowe@gmail.com,92,0,1,3,Electronics,clg
Charles,Smith,charles.smith@gmail.com,124,0,1,3,--,clg
Frank,Long,frank.long@gmail.com,80,0,1,3,Electronics,clg
Willie,Wallace,willie.wallace@gmail.com,167,0,1,3,Computer,clg
Larry,Stergios,larry.stergios@gmail.com,54,0,1,3,Electronics,clg
Crystal,Tarver,crystal.tarver@gmail.com,102,0,1,3,Electronics,clg
John,George,john.george@gmail.com,72,0,1,3,--,clg
Angle,Hwang,angle.hwang@gmail.com,145,0,1,3,IT,clg
Bobby,Hill,bobby.hill@gmail.com,71,0,1,3,Electronics,clg
James,James,james.james@gmail.com,85,0,1,3,--,clg
Earl,Huertas,earl.huertas@gmail.com,151,0,1,3,Computer,clg
Ronald,Custer,ronald.custer@gmail.com,196,0,1,3,--,clg
Leona,Hess,leona.hess@gmail.com,166,0,1,3,Computer,clg
Stephanie,Ward,stephanie.ward@gmail.com,157,0,1,3,--,clg
Carol,Eckenrode,carol.eckenrode@gmail.com,99,0,1,3,--,clg
Sonia,Brady,sonia.brady@gmail.com,86,0,1,3,Electronics,clg
Troy,Ellis,troy.ellis@gmail.com,157,0,1,3,Computer,clg
Ryan,Malinsky,ryan.malinsky@gmail.com,105,0,1,3,Electronics,clg
Richard,Leach,richard.leach@gmail.com,127,0,1,3,--,clg
Delbert,Walling,delbert.walling@gmail.com,102,0,1,3,IT,clg
Bernard,Sasaki,bernard.sasaki@gmail.com,83,0,1,3,Electronics,clg
Lewis,Barker,lewis.barker@gmail.com,115,0,1,3,Electronics,clg
Warren,Perez,warren.perez@gmail.com,156,0,1,3,Computer,clg
Ron,Bishop,ron.bishop@gmail.com,75,0,1,3,Electronics,clg
Diane,Fields,diane.fields@gmail.com,122,0,1,3,Electronics,clg
William,Peart,william.peart@gmail.com,94,0,1,3,--,clg
Sarah,Lewis,sarah.lewis@gmail.com,76,0,1,3,Computer,clg
Laura,Rung,laura.rung@gmail.com,193,0,1,3,--,clg
Barbara,Nelson,barbara.nelson@gmail.com,108,0,1,3,--,clg
Greg,Cooper,greg.cooper@gmail.com,195,0,1,3,--,clg
Dennis,Hykes,dennis.hykes@gmail.com,108,0,1,3,Computer,clg
Molly,Collins,molly.collins@gmail.com,200,0,1,3,Computer,clg
Julie,Young,julie.young@gmail.com,81,0,1,3,Computer,clg
Patricia,Mccord,patricia.mccord@gmail.com,130,0,1,3,--,clg
Elaine,Lebowitz,elaine.lebowitz@gmail.com,169,0,1,3,Computer,clg
Abel,Bowen,abel.bowen@gmail.com,122,0,1,3,Electronics,clg
Susan,Smith,susan.smith@gmail.com,75,0,1,3,--,clg
Charles,Vorhies,charles.vorhies@gmail.com,127,0,1,3,--,clg
Rafael,Carnes,rafael.carnes@gmail.com,181,0,1,3,Computer,clg
Kenneth,Mcmullen,kenneth.mcmullen@gmail.com,111,0,1,3,--,clg
Henry,Duncan,henry.duncan@gmail.com,101,0,1,3,--,clg
Michael,Sees,michael.sees@gmail.com,145,0,1,3,--,clg
Jessica,Jackson,jessica.jackson@gmail.com,72,0,1,3,Electronics,clg
Leticia,Holland,leticia.holland@gmail.com,128,0,1,3,IT,clg
Marta,Smith,marta.smith@gmail.com,51,0,1,3,Electronics,clg
Jess,Leabow,jess.leabow@gmail.com,104,0,1,3,Electronics,clg
Melissa,Hope,melissa.hope@gmail.com,172,0,1,3,Computer,clg
Hattie,Fiscalini,hattie.fiscalini@gmail.com,126,0,1,3,Electronics,clg
Mary,Johnson,mary.johnson@gmail.com,63,0,1,3,Computer,clg
Leo,Timmer,leo.timmer@gmail.com,177,0,1,3,Computer,clg
Marjorie,Chevere,marjorie.chevere@gmail.com,75,0,1,3,IT,clg
Michele,Walden,michele.walden@gmail.com,110,0,1,3,Electronics,clg
Andre,Green,andre.green@gmail.com,196,0,1,3,Computer,clg
Marie,Burns,marie.burns@gmail.com,63,0,1,3,Computer,clg
Louise,White,louise.white@gmail.com,118,0,1,3,Electronics,clg
Ronald,Grissom,ronald.grissom@gmail.com,111,0,1,3,--,clg
Beth,Souza,beth.souza@gmail.com,148,0,1,3,IT,clg
Ed,Eatman,ed.eatman@gmail.com,108,0,1,3,Electronics,clg
Sun,Winn,sun.winn@gmail.com,115,0,1,3,Electronics,clg
Alexander,Graybill,alexander.graybill@gmail.com,198,0,1,3,Computer,clg
Larry,Madsen,larry.madsen@gmail.com,118,0,1,3,--,clg
Alex,Mitchell,alex.mitchell@gmail.com,133,0,1,3,IT,clg
Sarah,Offield,sarah.offield@gmail.com,140,0,1,3,--,clg
Christina,Burch,christina.burch@gmail.com,126,0,1,3,Computer,clg
Carol,Slayton,carol.slayton@gmail.com,90,0,1,3,Electronics,clg
Don,Martin,don.martin@gmail.com,105,0,1,3,Electronics,clg
Jaime,Keith,jaime.keith@gmail.com,55,0,1,3,Electronics,clg
Antonio,January,antonio.january@gmail.com,70,0,1,3,Electronics,clg
John,Grimes,john.grimes@gmail.com,182,0,1,3,--,clg
Alfred,Randall,alfred.randall@gmail.com,63,0,1,3,Electronics,clg
Terry,Underhill,terry.underhill@gmail.com,167,0,1,3,Computer,clg
David,Stokes,david.stokes@gmail.com,149,0,1,3,--,clg
Tyler,Gottschalk,tyler.gottschalk@gmail.com,190,0,1,3,Computer,clg
Maria,Davis,maria.davis@gmail.com,199,0,1,3,--,clg
Candice,Olenick,candice.olenick@gmail.com,172,0,1,3,Computer,clg
Marie,Rowland,marie.rowland@gmail.com,175,0,1,3,--,clg
Maxine,Bitto,maxine.bitto@gmail.com,140,0,1,3,IT,clg
Phyllis,Hunter,phyllis.hunter@gmail.com,79,0,1,3,Electronics,clg
Rodney,Sylva,rodney.sylva@gmail.com,113,0,1,3,--,clg
William,Duty,william.duty@gmail.com,115,0,1,3,--,clg
Maria,Ding,maria.ding@gmail.com,140,0,1,3,--,clg
Judith,Holthaus,judith.holthaus@gmail.com,58,0,1,3,Computer,clg
Christopher,Hill,christopher.hill@gmail.com,92,0,1,3,--,clg
Sam,Wilson,sam.wilson@gmail.com,137,0,1,3,IT,clg
Reynaldo,Burwood,reynaldo.burwood@gmail.com,145,0,1,3,IT,clg
Ruby,Lenhart,ruby.lenhart@gmail.com,117,0,1,3,Electronics,clg
James,Moody,james.moody@gmail.com,50,0,1,3,Computer,clg
Linda,Brown,linda.brown@gmail.com,99,0,1,3,Computer,clg
Earl,Crump,earl.crump@gmail.com,174,0,1,3,--,clg
Janice,Lawhorn,janice.lawhorn@gmail.com,137,0,1,3,--,clg
Vera,Williams,vera.williams@gmail.com,60,0,1,3,Electronics,clg
Francisco,Salvas,francisco.salvas@gmail.com,66,0,1,3,Electronics,clg
Steve,Mcintyre,steve.mcintyre@gmail.com,96,0,1,3,Electronics,clg
Guadalupe,Ostrom,guadalupe.ostrom@gmail.com,151,0,1,3,Computer,clg
Carlos,Burford,carlos.burford@gmail.com,161,0,1,3,Computer,clg
Jennifer,Miller,jennifer.miller@gmail.com,114,0,1,3,Electronics,clg
Jerry,Rangel,jerry.rangel@gmail.com,146,0,1,3,--,clg
Delma,Lee,delma.lee@gmail.com,88,0,1,3,Electronics,clg
Gary,Werner,gary.werner@gmail.com,72,0,1,3,--,clg
Mabel,Howard,mabel.howard@gmail.com,184,0,1,3,Computer,clg
Fernando,Toscano,fernando.toscano@gmail.com,160,0,1,3,Computer,clg
Dan,Mcevoy,dan.mcevoy@gmail.com,83,0,1,3,Electronics,clg
Howard,Yohn,howard.yohn@gmail.com,152,0,1,3,Computer,clg
Mark,Henderson,mark.henderson@gmail.com,65,0,1,3,IT,clg
Donna,Wilson,donna.wilson@gmail.com,52,0,1,3,IT,clg
Katherine,Leon,katherine.leon@gmail.com,86,0,1,3,IT,clg
Mary,Harris,mary.harris@gmail.com,168,0,1,3,--,clg
Deborah,Austin,deborah.austin@gmail.com,200,0,1,3,Computer,clg
Bruce,Sherman,bruce.sherman@gmail.com,63,0,1,3,Electronics,clg
Lisa,Carter,lisa.carter@gmail.com,200,0,1,3,--,clg
Shawn,Rumph,shawn.rumph@gmail.com,118,0,1,3,--,clg
Michael,Attaway,michael.attaway@gmail.com,185,0,1,3,--,clg
Jimmy,Harvey,jimmy.harvey@gmail.com,188,0,1,3,--,clg
Alisha,Ouellette,alisha.ouellette@gmail.com,91,0,1,3,Electronics,clg
Sarah,Welsh,sarah.welsh@gmail.com,153,0,1,3,--,clg
Virginia,Mileski,virginia.mileski@gmail.com,145,0,1,3,IT,clg
Russell,Mccasland,russell.mccasland@gmail.com,161,0,1,3,--,clg
Edward,Killoren,edward.killoren@gmail.com,65,0,1,3,Electronics,clg
Jeffrey,Brown,jeffrey.brown@gmail.com,169,0,1,3,--,clg
Randy,Fernandez,randy.fernandez@gmail.com,70,0,1,3,Computer,clg
Tom,Beard,tom.beard@gmail.com,188,0,1,3,Computer,clg
George,Perkins,george.perkins@gmail.com,96,0,1,3,--,clg
Horace,Preston,horace.preston@gmail.com,102,0,1,3,Electronics,clg
Jennie,Ellis,jennie.ellis@gmail.com,117,0,1,3,Electronics,clg
Cecil,Knox,cecil.knox@gmail.com,167,0,1,3,Computer,clg
Christopher,Chaney,christopher.chaney@gmail.com,107,0,1,3,--,clg
Ian,Zenz,ian.zenz@gmail.com,197,0,1,3,Computer,clg
Michael,Hernandez,michael.hernandez@gmail.com,121,0,1,3,--,clg
Richard,Flagg,richard.flagg@gmail.com,73,0,1,3,--,clg
Amber,Tieng,amber.tieng@gmail.com,50,0,1,3,Electronics,clg
Timothy,Hanna,timothy.hanna@gmail.com,145,0,1,3,--,clg
Anthony,Armstrong,anthony.armstrong@gmail.com,98,0,1,3,Electronics,clg
Walter,Miller,walter.miller@gmail.com,112,0,1,3,Electronics,clg
Jerry,Obrian,jerry.obrian@gmail.com,122,0,1,3,Computer,clg
Delores,Vaughan,delores.vaughan@gmail.com,92,0,1,3,Electronics,clg
Deanna,Adams,deanna.adams@gmail.com,156,0,1,3,Computer,clg
Gary,Mangrum,gary.mangrum@gmail.com,162,0,1,3,--,clg
Susan,Mcgee,susan.mcgee@gmail.com,119,0,1,3,--,clg
Catherine,Opie,catherine.opie@gmail.com,121,0,1,3,--,clg
David,Mcgurk,david.mcgurk@gmail.com,54,0,1,3,Computer,clg
Maria,Nylen,maria.nylen@gmail.com,95,0,1,3,--,clg
Paula,Parra,paula.parra@gmail.com,192,0,1,3,Computer,clg
William,Lewis,william.lewis@gmail.com,124,0,1,3,--,clg
Carl,Rogers,carl.rogers@gmail.com,81,0,1,3,--,clg
Rachel,Watson,rachel.watson@gmail.com,109,0,1,3,--,clg
Elmo,Osdoba,elmo.osdoba@gmail.com,192,0,1,3,Computer,clg
Julie,Wilmoth,julie.wilmoth@gmail.com,185,0,1,3,--,clg
Christopher,Cahill,christopher.cahill@gmail.com,57,0,1,3,IT,clg
Christopher,Seitz,christopher.seitz@gmail.com,99,0,1,3,--,clg
Holly,Brewer,holly.brewer@gmail.com,183,0,1,3,--,clg
Norman,Yanez,norman.yanez@gmail.com,59,0,1,3,Electronics,clg
Kristin,Jefferson,kristin.jefferson@gmail.com,184,0,1,3,Computer,clg
Thomas,Flanagan,thomas.flanagan@gmail.com,124,0,1,3,--,clg
Wesley,Henke,wesley.henke@gmail.com,104,0,1,3,Electronics,clg
Lacy,Davis,lacy.davis@gmail.com,112,0,1,3,Electronics,clg
Lisa,Derouen,lisa.derouen@gmail.com,146,0,1,3,--,clg
Vincent,Mccormick,vincent.mccormick@gmail.com,74,0,1,3,Computer,clg
Dean,Addington,dean.addington@gmail.com,115,0,1,3,Electronics,clg
Henry,Lester,henry.lester@gmail.com,78,0,1,3,IT,clg
Susan,Bond,susan.bond@gmail.com,196,0,1,3,--,clg
Martha,Feldman,martha.feldman@gmail.com,142,0,1,3,Computer,clg
Patrick,Thomas,patrick.thomas@gmail.com,67,0,1,3,Electronics,clg
Robert,Lopez,robert.lopez@gmail.com,81,0,1,3,--,clg
Holly,Gantt,holly.gantt@gmail.com,141,0,1,3,Computer,clg
Jodi,Dergance,jodi.dergance@gmail.com,145,0,1,3,IT,clg
Nicholas,Zbell,nicholas.zbell@gmail.com,156,0,1,3,Computer,clg
Tammy,Macdonald,tammy.macdonald@gmail.com,134,0,1,3,IT,clg
Robert,Brown,robert.brown@gmail.com,88,0,1,3,--,clg
Catherine,Bernard,catherine.bernard@gmail.com,114,0,1,3,Electronics,clg
Erna,Jimenez,erna.jimenez@gmail.com,185,0,1,3,Computer,clg
James,Mummey,james.mummey@gmail.com,86,0,1,3,--,clg
Brant,Andresen,brant.andresen@gmail.com,53,0,1,3,Electronics,clg
Alyssa,Aguirre,alyssa.aguirre@gmail.com,197,0,1,3,Computer,clg
Robert,Perry,robert.perry@gmail.com,143,0,1,3,--,clg
Sharron,Reedy,sharron.reedy@gmail.com,120,0,1,3,Electronics,clg
Lawrence,Kelley,lawrence.kelley@gmail.com,175,0,1,3,Computer,clg
Gloria,Mullenix,gloria.mullenix@gmail.com,194,0,1,3,--,clg
Sandra,Johns,sandra.johns@gmail.com,91,0,1,3,Electronics,clg
Velma,Rose,velma.rose@gmail.com,159,0,1,3,Computer,clg
Tina,Kelly,tina.kelly@gmail.com,160,0,1,3,--,clg
Kevin,Cravens,kevin.cravens@gmail.com,66,0,1,3,Computer,clg
Andrew,Blair,andrew.blair@gmail.com,118,0,1,3,--,clg
Frances,Kirkpatrick,frances.kirkpatrick@gmail.com,112,0,1,3,Electronics,clg
Myra,Evans,myra.evans@gmail.com,141,0,1,3,IT,clg
Jacqueline,Hyde,jacqueline.hyde@gmail.com,86,0,1,3,Electronics,clg
Katherine,Reynolds,katherine.reynolds@gmail.com,146,0,1,3,--,clg
Bryant,Lee,bryant.lee@gmail.com,133,0,1,3,IT,clg
Brenda,Stuckey,brenda.stuckey@gmail.com,130,0,1,3,Computer,clg
Leonel,Sharp,leonel.sharp@gmail.com,105,0,1,3,Electronics,clg
Rachel,Cole,rachel.cole@gmail.com,65,0,1,3,--,clg
Robert,Morelli,robert.morelli@gmail.com,124,0,1,3,--,clg
Jose,Cherry,jose.cherry@gmail.com,160,0,1,3,--,clg
Laura,Berry,laura.berry@gmail.com,111,0,1,3,Computer,clg
Betty,Taylor,betty.taylor@gmail.com,130,0,1,3,--,clg
Ima,Davison,ima.davison@gmail.com,89,0,1,3,Electronics,clg
William,Pelote,william.pelote@gmail.com,133,0,1,3,--,clg
Helga,Lash,helga.lash@gmail.com,62,0,1,3,Electronics,clg
Michael,Nagle,michael.nagle@gmail.com,176,0,1,3,--,clg
Audrey,Virgen,audrey.virgen@gmail.com,132,0,1,3,IT,clg
Jack,Michaud,jack.michaud@gmail.com,51,0,1,3,Electronics,clg
John,Moreno,john.moreno@gmail.com,78,0,1,3,--,clg
Dexter,Meier,dexter.meier@gmail.com,172,0,1,3,Computer,clg
Christine,Mcdaniel,christine.mcdaniel@gmail.com,59,0,1,3,Electronics,clg
Lisa,Bouthillette,lisa.bouthillette@gmail.com,102,0,1,3,Computer,clg
Bobbi,Marshall,bobbi.marshall@gmail.com,75,0,1,3,Electronics,clg
Jeanne,Lyday,jeanne.lyday@gmail.com,189,0,1,3,Computer,clg
Tabitha,Barnes,tabitha.barnes@gmail.com,80,0,1,3,Electronics,clg
Monica,Steffensmeier,monica.steffensmeier@gmail.com,114,0,1,3,--,clg
Lloyd,Swanger,lloyd.swanger@gmail.com,151,0,1,3,--,clg
Thomas,Smith,thomas.smith@gmail.com,90,0,1,3,Computer,clg
John,Freeman,john.freeman@gmail.com,150,0,1,3,--,clg
Danielle,Ballard,danielle.ballard@gmail.com,200,0,1,3,Computer,clg
Ivan,Velazquez,ivan.velazquez@gmail.com,107,0,1,3,--,clg
Susan,Goto,susan.goto@gmail.com,100,0,1,3,--,clg
Vincent,Stiltner,vincent.stiltner@gmail.com,182,0,1,3,--,clg
Rosa,Griffin,rosa.griffin@gmail.com,89,0,1,3,Electronics,clg
Vincent,Torres,vincent.torres@gmail.com,117,0,1,3,--,clg
Gricelda,Sweatt,gricelda.sweatt@gmail.com,139,0,1,3,IT,clg
Marilyn,Young,marilyn.young@gmail.com,124,0,1,3,Electronics,clg
Amy,Neel,amy.neel@gmail.com,65,0,1,3,Electronics,clg
James,Ramos,james.ramos@gmail.com,184,0,1,3,--,clg
Kenneth,Cookson,kenneth.cookson@gmail.com,83,0,1,3,Electronics,clg
Mark,Casbarro,mark.casbarro@gmail.com,140,0,1,3,--,clg
Janine,Davis,janine.davis@gmail.com,105,0,1,3,Electronics,clg
Charles,Padilla,charles.padilla@gmail.com,116,0,1,3,--,clg
Erik,Heath,erik.heath@gmail.com,139,0,1,3,Computer,clg
Lucy,Brewer,lucy.brewer@gmail.com,166,0,1,3,Computer,clg
Todd,Clark,todd.clark@gmail.com,126,0,1,3,Electronics,clg
Brian,Bruce,brian.bruce@gmail.com,99,0,1,3,Computer,clg
Rodney,Newman,rodney.newman@gmail.com,83,0,1,3,Electronics,clg
Elmer,Crain,elmer.crain@gmail.com,189,0,1,3,Computer,clg
Greg,Rusten,greg.rusten@gmail.com,99,0,1,3,Computer,clg
Maria,Hurt,maria.hurt@gmail.com,52,0,1,3,Computer,clg
Robert,Sanders,robert.sanders@gmail.com,191,0,1,3,--,clg
Mary,Mercado,mary.mercado@gmail.com,174,0,1,3,--,clg
Jose,Hunter,jose.hunter@gmail.com,59,0,1,3,Computer,clg
Tina,Suggs,tina.suggs@gmail.com,53,0,1,3,Computer,clg
Robin,Tucker,robin.tucker@gmail.com,133,0,1,3,IT,clg
Julie,Farrell,julie.farrell@gmail.com,128,0,1,3,--,clg
Christina,Patton,christina.patton@gmail.com,170,0,1,3,--,clg
Thomas,Karns,thomas.karns@gmail.com,111,0,1,3,--,clg
Michael,Cloer,michael.cloer@gmail.com,65,0,1,3,Computer,clg
John,Leon,john.leon@gmail.com,164,0,1,3,--,clg
Michael,Tyson,michael.tyson@gmail.com,77,0,1,3,--,clg
Cedric,Church,cedric.church@gmail.com,110,0,1,3,Electronics,clg
David,Trowbridge,david.trowbridge@gmail.com,159,0,1,3,--,clg
Margaret,Jones,margaret.jones@gmail.com,135,0,1,3,IT,clg
Thelma,Shipley,thelma.shipley@gmail.com,99,0,1,3,Electronics,clg
Oscar,Hall,oscar.hall@gmail.com,58,0,1,3,Electronics,clg
Larry,Chapin,larry.chapin@gmail.com,88,0,1,3,--,clg
Collin,Dustin,collin.dustin@gmail.com,133,0,1,3,IT,clg
Ginger,Brown,ginger.brown@gmail.com,127,0,1,3,IT,clg
June,Dover,june.dover@gmail.com,77,0,1,3,Electronics,clg
Darlene,Aguirre,darlene.aguirre@gmail.com,117,0,1,3,Electronics,clg
Damien,Gosz,damien.gosz@gmail.com,119,0,1,3,Electronics,clg
John,Fraser,john.fraser@gmail.com,68,0,1,3,--,clg
Ivan,Sargeant,ivan.sargeant@gmail.com,102,0,1,3,Electronics,clg
William,Sartoris,william.sartoris@gmail.com,89,0,1,3,Computer,clg
Henry,Bracy,henry.bracy@gmail.com,137,0,1,3,--,clg
Dianne,Shummon,dianne.shummon@gmail.com,106,0,1,3,Electronics,clg
Sharon,Snover,sharon.snover@gmail.com,196,0,1,3,--,clg
Clifford,Morrison,clifford.morrison@gmail.com,140,0,1,3,IT,clg
Dennis,Junkin,dennis.junkin@gmail.com,165,0,1,3,--,clg
